iter	RMSE
0	0.3857102551
1	0.3726144699
2	0.3594448003
3	0.3470844805
4	0.336252993
5	0.3252892537
6	0.3150929966
7	0.3050650351
8	0.2957354417
9	0.2867947549
10	0.2779939771
11	0.2703017352
12	0.2629680356
13	0.2558122739
14	0.2488310876
15	0.2425629356
16	0.2363742989
17	0.2306146536
18	0.2249832792
19	0.2197696762
20	0.2146862664
21	0.2101642828
22	0.2054534687
23	0.2012046083
24	0.1971984537
25	0.193150086
26	0.1894958471
27	0.1858998031
28	0.1826103304
29	0.1794239182
30	0.1766483625
31	0.1739566214
32	0.1711602629
33	0.1680700591
34	0.1653090643
35	0.1628397401
36	0.1606853773
37	0.1580146813
38	0.1558967975
39	0.153835353
40	0.1517414357
41	0.1501133785
42	0.1478726317
43	0.1462518513
44	0.1444958059
45	0.1427220625
46	0.1411744559
47	0.1397453148
48	0.1382409313
49	0.1365879885
50	0.1353864999
51	0.1339227223
52	0.1326978685
53	0.1313942803
54	0.130202924
55	0.1291640114
56	0.1280242454
57	0.1269967835
58	0.1259436492
59	0.1250483739
60	0.124166761
61	0.1233976889
62	0.1225046785
63	0.1216611072
64	0.1206202992
65	0.1198273705
66	0.1191225038
67	0.1183885259
68	0.1173664741
69	0.1165354521
70	0.1160240483
71	0.1153587257
72	0.1147143073
73	0.1140816498
74	0.1133151404
75	0.1125079254
76	0.1119676748
77	0.1113985715
78	0.1107335741
79	0.1102277098
80	0.1096403055
81	0.1092150042
82	0.1087913759
83	0.1082267732
84	0.1076803355
85	0.1072479935
86	0.1066863971
87	0.106344237
88	0.1058148206
89	0.1054212285
90	0.1050179351
91	0.1046823874
92	0.1042565057
93	0.1038851687
94	0.1033979241
95	0.1030664141
96	0.1027591306
97	0.1024268788
98	0.1020598641
99	0.1016283461
100	0.1012604662
101	0.1010056089
102	0.1006570434
103	0.1004573684
104	0.1002153582
105	0.09991744453
106	0.09962445906
107	0.0994633929
108	0.09917561265
109	0.09895135728
110	0.09845316349
111	0.09809383031
112	0.09782254032
113	0.0974710366
114	0.0971403091
115	0.09692661583
116	0.09665480285
117	0.09638614681
118	0.09613716102
119	0.09591559704
120	0.09570380372
121	0.09552147321
122	0.09523979663
123	0.09503219843
124	0.09486176681
125	0.0943578427
126	0.09420336977
127	0.09390610559
128	0.09364397722
129	0.09335888784
130	0.09314276886
131	0.09288001785
132	0.09263656153
133	0.09246305511
134	0.09211282843
135	0.09186511863
136	0.09165441266
137	0.09147504153
138	0.09125186113
139	0.09108680738
140	0.09089286025
141	0.09067725571
142	0.09048097352
143	0.09023485209
144	0.09004116965
145	0.08978491004
146	0.08953645348
147	0.08931450905
148	0.08902853887
149	0.08888160509
150	0.08873233267
151	0.08841196279
152	0.08825337702
153	0.08808694914
154	0.08798174083
155	0.08778002837
156	0.08765761629
157	0.0874363516
158	0.08737327178
159	0.08717995945
160	0.0870560387
161	0.08685429533
162	0.08671574356
163	0.08649418403
164	0.08636886515
165	0.08629176758
166	0.08614943753
167	0.08602310363
168	0.08583687348
169	0.08558163989
170	0.08548923623
171	0.08517972269
172	0.08499114994
173	0.08470193901
174	0.0845114614
175	0.08437730625
176	0.08415283946
177	0.08400343626
178	0.08378235825
179	0.08359701138
180	0.08345969282
181	0.08322958804
182	0.08310754524
183	0.08286769164
184	0.08265157069
185	0.08257344594
186	0.08235677802
187	0.08218359551
188	0.08203871751
189	0.08190793488
190	0.08171035416
191	0.08149387198
192	0.0813900105
193	0.08129778596
194	0.08106527819
195	0.08095746304
196	0.08074771989
197	0.08050020082
198	0.08036789498
199	0.08024661001
200	0.08001622872
201	0.07978050966
202	0.07958718955
203	0.07942721298
204	0.07929292701
205	0.07923587331
206	0.07900343733
207	0.07889926239
208	0.07883182327
209	0.07878488976
210	0.07867233719
211	0.07856328898
212	0.07850977758
213	0.07838506097
214	0.07831802681
215	0.07822937875
216	0.07807179125
217	0.0779221483
218	0.0778515451
219	0.07759358141
220	0.0774679724
221	0.07722722132
222	0.0771167367
223	0.07707852523
224	0.07694852903
225	0.07689915924
226	0.07673150707
227	0.07669608498
228	0.07652018048
229	0.07626271095
230	0.07603651533
231	0.07600132508
232	0.07579536437
233	0.07575874372
234	0.07560267753
235	0.07549481906
236	0.07530015043
237	0.07516826593
238	0.07492731887
239	0.07486613508
240	0.07460102703
241	0.07437828057
242	0.07434884297
243	0.0740908675
244	0.07397320875
245	0.07393746476
246	0.07383529931
247	0.0738105913
248	0.0736018784
249	0.07351178487
250	0.07329163748
251	0.07309418247
252	0.07286824346
253	0.07270357221
254	0.07253418823
255	0.07243715876
256	0.0722920852
257	0.07226111623
258	0.07208208737
259	0.07196989231
260	0.07185833386
261	0.0717543283
262	0.07158137206
263	0.07146823047
264	0.07140966365
265	0.07125230384
266	0.07110151645
267	0.07094076638
268	0.07074820241
269	0.07057397983
270	0.07043036509
271	0.07030101936
272	0.07028143016
273	0.07016179349
274	0.07012031406
275	0.06993564384
276	0.0697444001
277	0.06962617777
278	0.06947675154
279	0.06937403148
280	0.06927723713
281	0.06911499903
282	0.06907921637
283	0.06891303597
284	0.06883840317
285	0.06868053965
286	0.06858461845
287	0.06842263604
288	0.06832148297
289	0.06819844999
290	0.06807610735
291	0.06797938788
292	0.06785116145
293	0.06776282789
294	0.06762026567
295	0.06749518166
296	0.06728533167
297	0.06710584121
298	0.06707489372
299	0.06695028964
